timestamp,game,steps,score,target_score,delta,efficiency
2026-04-09T14:06:11,1,2229,6,0,6,0.0027
2026-04-09T14:06:56,2,1730,5,3,2,0.0029
2026-04-09T14:08:02,3,2571,6,6,0,0.0023
2026-04-09T14:08:35,4,1274,4,4,0,0.0031
2026-04-09T15:07:19,5,11,0,0,0,0.0000
2026-04-09T15:07:21,6,48,0,0,0,0.0000
2026-04-09T15:07:23,7,70,0,0,0,0.0000
2026-04-09T15:07:24,8,22,1,0,1,0.0455
2026-04-09T15:07:27,9,74,0,1,-1,0.0000
2026-04-09T15:07:28,10,17,0,0,0,0.0000
2026-04-09T15:07:30,11,53,2,1,1,0.0377
2026-04-09T15:07:32,12,54,0,2,-2,0.0000
2026-04-09T15:07:35,13,86,0,2,-2,0.0000
2026-04-09T15:07:37,14,32,0,1,-1,0.0000
2026-04-09T15:07:38,15,18,0,0,0,0.0000
2026-04-09T15:07:40,16,25,0,1,-1,0.0000
2026-04-09T15:07:42,17,51,1,2,-1,0.0196
2026-04-09T15:07:43,18,18,1,0,1,0.0556
2026-04-09T15:07:44,19,10,1,1,0,0.1000
2026-04-09T15:07:46,20,68,0,2,-2,0.0000
2026-04-09T15:07:49,21,58,1,2,-1,0.0172
2026-04-09T15:07:50,22,27,0,1,-1,0.0000
2026-04-09T15:07:51,23,22,0,1,-1,0.0000
2026-04-09T15:07:52,24,15,0,1,-1,0.0000
2026-04-09T15:07:54,25,21,0,1,-1,0.0000
2026-04-09T15:07:57,26,85,0,2,-2,0.0000
2026-04-09T15:08:00,27,100,1,2,-1,0.0100
2026-04-09T15:08:03,28,107,1,2,-1,0.0093
2026-04-09T15:08:05,29,30,1,1,0,0.0333
2026-04-09T15:08:06,30,11,0,1,-1,0.0000
2026-04-09T15:08:09,31,75,1,2,-1,0.0133
2026-04-09T15:08:10,32,12,0,1,-1,0.0000
2026-04-09T15:08:11,33,31,0,1,-1,0.0000
2026-04-09T15:08:12,34,12,0,1,-1,0.0000
2026-04-09T15:08:16,35,112,2,2,0,0.0179
2026-04-09T15:08:17,36,16,0,1,-1,0.0000
2026-04-09T15:08:19,37,45,0,1,-1,0.0000
2026-04-09T15:08:21,38,56,1,2,-1,0.0179
2026-04-09T15:08:22,39,15,1,1,0,0.0667
2026-04-09T15:08:23,40,13,0,1,-1,0.0000
2026-04-09T15:08:26,41,70,0,2,-2,0.0000
2026-04-09T15:08:27,42,23,0,1,-1,0.0000
2026-04-09T15:08:29,43,69,1,2,-1,0.0145
2026-04-09T15:08:30,44,10,0,1,-1,0.0000
2026-04-09T15:08:32,45,29,0,1,-1,0.0000
2026-04-09T15:08:33,46,17,0,1,-1,0.0000
2026-04-09T15:08:35,47,75,0,2,-2,0.0000
2026-04-09T15:08:37,48,19,0,1,-1,0.0000
2026-04-09T15:08:40,49,107,1,2,-1,0.0093
2026-04-09T15:08:41,50,15,0,1,-1,0.0000
2026-04-09T15:08:42,51,10,0,1,-1,0.0000
2026-04-09T15:08:45,52,77,1,2,-1,0.0130
2026-04-09T15:08:46,53,17,0,1,-1,0.0000
2026-04-09T15:08:50,54,125,2,2,0,0.0160
2026-04-09T15:08:53,55,108,4,2,2,0.0370
2026-04-09T15:09:00,56,250,5,4,1,0.0200
2026-04-09T15:09:02,57,45,3,1,2,0.0667
2026-04-09T15:09:05,58,65,1,3,-2,0.0154
2026-04-09T15:09:07,59,54,0,3,-3,0.0000
2026-04-09T15:09:10,60,86,2,3,-1,0.0233
2026-04-09T15:09:12,61,67,4,3,1,0.0597
2026-04-09T15:09:17,62,167,4,4,0,0.0240
2026-04-09T15:09:18,63,16,0,1,-1,0.0000
2026-04-09T15:09:23,64,141,3,4,-1,0.0213
2026-04-09T15:09:26,65,107,3,4,-1,0.0280
2026-04-09T15:09:27,66,11,0,1,-1,0.0000
2026-04-09T15:09:30,67,83,0,4,-4,0.0000
2026-04-09T15:09:32,68,40,0,2,-2,0.0000
2026-04-09T15:09:36,69,140,2,4,-2,0.0143
2026-04-09T15:09:45,70,319,7,5,2,0.0219
2026-04-09T15:09:52,71,254,9,5,4,0.0354
2026-04-09T15:09:58,72,212,6,6,0,0.0283
2026-04-09T15:10:00,73,29,0,2,-2,0.0000
2026-04-09T15:10:11,74,416,9,9,0,0.0216
2026-04-09T15:10:15,75,119,1,4,-3,0.0084
2026-04-09T15:10:20,76,170,5,7,-2,0.0294
2026-04-09T15:10:28,77,284,13,9,4,0.0458
2026-04-09T15:10:33,78,171,8,7,1,0.0468
2026-04-09T15:10:59,79,952,3,13,-10,0.0032
2026-04-09T15:11:04,80,190,10,9,1,0.0526
2026-04-09T15:11:09,81,153,7,8,-1,0.0458
2026-04-09T15:11:23,82,498,18,13,5,0.0361
2026-04-09T15:11:28,83,175,8,9,-1,0.0457
2026-04-09T15:12:07,84,1479,34,18,16,0.0230
2026-04-09T15:12:21,85,528,18,18,0,0.0341
2026-04-09T15:12:24,86,104,3,6,-3,0.0288
2026-04-09T15:12:37,87,477,18,17,1,0.0377
2026-04-09T15:12:53,88,580,33,18,15,0.0569
2026-04-09T15:13:07,89,522,26,29,-3,0.0498
2026-04-09T15:13:23,90,594,35,33,2,0.0589
2026-04-09T15:13:41,91,661,37,35,2,0.0560
2026-04-09T15:14:00,92,747,47,37,10,0.0629
2026-04-09T15:14:08,93,251,20,18,2,0.0797
2026-04-09T15:14:14,94,201,15,15,0,0.0746
2026-04-09T15:14:22,95,294,22,22,0,0.0748
2026-04-09T15:14:30,96,284,21,22,-1,0.0739
2026-04-09T15:14:39,97,350,26,23,3,0.0743
2026-04-09T15:14:47,98,284,17,22,-5,0.0599
2026-04-09T15:15:07,99,723,48,45,3,0.0664
2026-04-09T15:15:18,100,421,29,27,2,0.0689
2026-04-09T15:15:30,101,416,26,29,-3,0.0625
2026-04-09T15:15:53,102,888,48,48,0,0.0541
2026-04-09T15:15:55,103,56,5,5,0,0.0893
2026-04-09T15:16:02,104,223,18,18,0,0.0807
2026-04-09T15:16:10,105,320,19,25,-6,0.0594
2026-04-09T15:16:19,106,302,17,23,-6,0.0563
2026-04-09T15:16:39,107,766,41,48,-7,0.0535
2026-04-09T15:16:54,108,545,32,37,-5,0.0587
2026-04-09T15:17:05,109,394,21,29,-8,0.0533
2026-04-09T15:17:08,110,85,7,8,-1,0.0824
2026-04-09T15:17:15,111,233,15,19,-4,0.0644
2026-04-09T15:17:24,112,316,17,25,-8,0.0538
2026-04-09T15:17:36,113,461,29,30,-1,0.0629
2026-04-09T15:17:53,114,625,34,41,-7,0.0544
2026-04-09T15:17:58,115,180,10,15,-5,0.0556
2026-04-09T15:18:19,116,780,39,48,-9,0.0500
2026-04-09T15:18:27,117,270,19,21,-2,0.0704
2026-04-09T15:18:38,118,400,33,29,4,0.0825
2026-04-09T15:18:52,119,507,39,34,5,0.0769
2026-04-09T15:18:58,120,234,17,21,-4,0.0726
2026-04-09T15:19:11,121,478,29,36,-7,0.0607
2026-04-09T15:19:24,122,467,30,36,-6,0.0642
2026-04-09T15:19:43,123,702,45,45,0,0.0641
2026-04-09T15:19:47,124,126,7,11,-4,0.0556
2026-04-09T15:19:56,125,345,23,28,-5,0.0667
2026-04-09T15:20:06,126,338,25,28,-3,0.0740
2026-04-09T15:20:15,127,330,26,27,-1,0.0788
2026-04-09T15:20:30,128,549,31,39,-8,0.0565
2026-04-09T15:20:48,129,651,37,42,-5,0.0568
2026-04-09T15:20:58,130,375,22,30,-8,0.0587
2026-04-09T15:21:11,131,474,34,36,-2,0.0717
2026-04-09T15:21:36,132,951,60,48,12,0.0631
2026-04-09T15:22:03,133,1008,58,60,-2,0.0575
2026-04-09T15:22:09,134,231,17,21,-4,0.0736
2026-04-09T15:22:18,135,296,22,25,-3,0.0743
2026-04-09T15:22:30,136,457,29,35,-6,0.0635
2026-04-09T15:22:42,137,425,27,33,-6,0.0635
2026-04-09T15:22:58,138,610,36,40,-4,0.0590
2026-04-09T15:23:11,139,485,29,37,-8,0.0598
2026-04-09T15:23:21,140,365,28,29,-1,0.0767
2026-04-09T15:23:31,141,357,22,29,-7,0.0616
2026-04-09T15:23:49,142,666,43,43,0,0.0646
2026-04-09T15:24:01,143,459,24,35,-11,0.0523
2026-04-09T15:24:20,144,676,39,44,-5,0.0577
2026-04-09T15:24:30,145,379,31,31,0,0.0818
2026-04-09T15:24:49,146,678,42,44,-2,0.0619
2026-04-09T15:25:06,147,637,36,42,-6,0.0565
2026-04-09T15:25:17,148,426,26,33,-7,0.0610
2026-04-09T15:25:29,149,421,29,33,-4,0.0689
2026-04-09T15:25:53,150,903,45,56,-11,0.0498
2026-04-09T15:26:01,151,283,20,24,-4,0.0707
2026-04-09T15:26:09,152,281,18,24,-6,0.0641
2026-04-09T15:26:24,153,564,34,39,-5,0.0603
2026-04-09T15:26:31,154,253,21,22,-1,0.0830
2026-04-09T15:26:51,155,774,46,48,-2,0.0594
2026-04-09T15:27:05,156,499,32,37,-5,0.0641
2026-04-09T15:27:19,157,507,33,39,-6,0.0651
2026-04-09T15:27:26,158,247,20,22,-2,0.0810
2026-04-09T15:27:30,159,120,12,13,-1,0.1000
2026-04-09T15:27:47,160,640,39,42,-3,0.0609
2026-04-09T15:28:00,161,468,32,36,-4,0.0684
2026-04-09T15:28:17,162,648,39,42,-3,0.0602
2026-04-09T15:28:19,163,63,5,7,-2,0.0794
2026-04-09T15:28:34,164,532,36,39,-3,0.0677
2026-04-09T15:39:41,165,322,27,27,0,0.0839
2026-04-09T15:39:49,166,269,20,24,-4,0.0743
2026-04-09T15:40:08,167,713,43,46,-3,0.0603
2026-04-09T15:40:22,168,510,27,39,-12,0.0529
2026-04-09T15:40:32,169,363,25,31,-6,0.0689
2026-04-09T15:40:48,170,580,38,39,-1,0.0655
2026-04-09T15:41:02,171,522,32,39,-7,0.0613
2026-04-09T15:41:10,172,277,21,24,-3,0.0758
2026-04-09T15:41:19,173,331,19,28,-9,0.0574
2026-04-09T15:41:27,174,278,20,24,-4,0.0719
2026-04-09T15:41:34,175,249,17,22,-5,0.0683
2026-04-09T15:41:42,176,268,20,24,-4,0.0746
2026-04-09T15:41:58,177,588,33,40,-7,0.0561
2026-04-09T15:42:17,178,716,46,47,-1,0.0642
2026-04-09T15:42:31,179,493,29,37,-8,0.0588
2026-04-09T15:42:42,180,417,29,33,-4,0.0695
2026-04-09T15:42:52,181,344,23,29,-6,0.0669
2026-04-09T15:43:09,182,547,34,39,-5,0.0622
2026-04-09T15:43:19,183,378,26,32,-6,0.0688
2026-04-09T15:43:27,184,255,19,22,-3,0.0745
2026-04-09T15:43:32,185,189,13,18,-5,0.0688
2026-04-09T15:43:41,186,300,19,26,-7,0.0633
2026-04-09T15:43:55,187,485,32,37,-5,0.0660
2026-04-09T15:44:06,188,431,26,33,-7,0.0603
2026-04-09T15:44:22,189,593,41,42,-1,0.0691
2026-04-09T15:44:32,190,346,26,29,-3,0.0751
2026-04-09T15:44:39,191,259,16,22,-6,0.0618
2026-04-09T15:44:54,192,549,41,39,2,0.0747
2026-04-09T15:45:03,193,307,21,26,-5,0.0684
2026-04-09T15:45:10,194,210,12,19,-7,0.0571
2026-04-09T15:45:22,195,453,29,34,-5,0.0640
2026-04-09T15:45:40,196,662,41,44,-3,0.0619
2026-04-09T15:45:52,197,425,25,33,-8,0.0588
2026-04-09T15:45:56,198,139,11,14,-3,0.0791
2026-04-09T15:46:12,199,561,36,41,-5,0.0642
2026-04-09T15:46:22,200,373,22,32,-10,0.0590
2026-04-09T15:46:30,201,276,20,24,-4,0.0725
2026-04-09T15:46:38,202,260,17,22,-5,0.0654
2026-04-09T15:46:47,203,344,22,29,-7,0.0640
2026-04-09T15:46:57,204,343,24,29,-5,0.0700
2026-04-09T15:47:02,205,160,11,15,-4,0.0688
2026-04-09T15:47:10,206,267,21,24,-3,0.0787
2026-04-09T15:47:20,207,382,25,33,-8,0.0654
2026-04-09T15:47:26,208,161,11,15,-4,0.0683
2026-04-09T15:47:34,209,318,20,27,-7,0.0629
2026-04-09T15:47:45,210,377,20,32,-12,0.0531
2026-04-09T15:48:07,211,810,48,50,-2,0.0593
2026-04-09T15:48:14,212,277,19,24,-5,0.0686
2026-04-09T15:48:23,213,290,18,25,-7,0.0621
